facebook.com,66.220.158.68
youtube.com,216.58.216.14
yahoo.com,98.139.183.24
live.com,65.55.206.154
wikipedia.org,198.35.26.96
msn.com,23.101.196.141
baidu.com,123.125.114.144
blogspot.com,74.125.28.191
microsoft.com,191.239.213.197
qq.com,61.135.157.156
taobao.com,140.205.220.96
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,106.120.151.169
163.com,123.58.180.8
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.150.7
mozilla.com,63.245.213.24
youku.com,220.181.185.141
sdjjdsaf.com,
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
amazon.com,54.239.26.128
wordpress.com,192.0.78.17
tudou.com,123.126.98.146
yahoo.co.jp,182.22.59.229
sohu.com,220.181.90.20
apple.com,17.172.224.47
hao123.com,180.149.131.31
windows.com,104.40.191.237
ebay.com,66.211.181.123
pps.tv,58.83.190.154
xunlei.com,
56.com,101.227.173.126
fc2.com,52.9.36.113
paypal.com,66.211.169.3
sogou.com,36.110.147.36
tmall.com,110.75.114.89
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,173.194.203.118
ifeng.com,210.51.19.61
goo.ne.jp,153.254.147.65
bbc.co.uk,212.58.244.23
yandex.ru,5.255.255.55
myspace.com,63.135.90.70
mail.ru,217.69.139.201
cnet.com,64.30.224.118
go.com,199.181.131.249
4399.com,118.184.184.70
orkut.com,173.194.203.118
skype.com,157.56.109.9
ameblo.jp,180.233.142.129
naver.com,125.209.222.142
flickr.com,69.147.76.173
4shared.com,204.155.149.139
amazon.co.jp,54.240.248.0
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,207.171.166.22
aol.com,207.200.74.38
hotmail.com,65.55.77.28
360.cn,222.73.144.195
craigslist.org,208.82.238.129
weather.com,23.210.235.54
soku.com,43.250.12.57
alibaba.com,198.11.132.23
renren.com,106.120.180.243
livedoor.jp,125.6.149.67
blogger.com,74.125.28.191
vkontakte.ru,95.213.4.247
answers.com,67.196.156.65
rapidshare.com,10.11.12.13
daum.net,61.111.62.173
7k7k.com,115.182.59.33
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,205.196.120.12
ehow.com,23.227.11.12
seesaa.net,59.106.28.139
